"","variable","value","value_label"
"1","resDisposition",0,"Unused"
"2","resDisposition",1,"Completed"
"3","resDisposition",2,"Dropped"
"4","resDisposition",3,"Screened Out"
"5","resDisposition",4,"Interrupted"
"6","resDisposition",5,"Out of Quota"
"7","resDisposition",6,"Reset"
"8","INTRO",1,"I agree to participate in the survey"
"9","INTRO",2,"I do NOT agree to participate in the survey"
"10","SCREEN",1,"Yes"
"11","SCREEN",2,"No"
"12","NUMB_BIRTH",1,"1"
"13","NUMB_BIRTH",2,"2"
"14","NUMB_BIRTH",3,"3"
"15","NUMB_BIRTH",4,"4"
"16","NUMB_BIRTH",5,"5"
"17","NUMB_BIRTH",6,"6"
"18","NUMB_BIRTH",7,"7"
"19","NUMB_BIRTH",8,"8"
"20","NUMB_BIRTH",9,"9"
"21","NUMB_BIRTH",10,"10"
"22","NUMB_BIRTH",11,"11"
"23","NUMB_BIRTH",12,"12"
"24","NUMB_BIRTH",13,"13"
"25","NUMB_BIRTH",14,"14"
"26","NUMB_BIRTH",15,"15"
"27","TIMES",0,"time"
"28","TIMES",1,"times"
"29","SCREEN3",1,"Home"
"30","SCREEN3",2,"Birth center"
"31","SCREEN3",3,"Hospital"
"32","SCREEN3",4,"Somewhere else"
"33","SCREEN4",1,"A single baby"
"34","SCREEN4",2,"Twins"
"35","SCREEN4",3,"Triplets or more"
"36","SCREEN5",1,"USA"
"37","SCREEN5",2,"Another country (Please specify)"
"38","SCREEN6",1,"Yes"
"39","SCREEN6",2,"No"
"40","NUMB_BIRTH_OLD",1,"1"
"41","NUMB_BIRTH_OLD",2,"2"
"42","NUMB_BIRTH_OLD",3,"3"
"43","NUMB_BIRTH_OLD",4,"4"
"44","NUMB_BIRTH_OLD",5,"5"
"45","NUMB_BIRTH_OLD",6,"6"
"46","NUMB_BIRTH_OLD",7,"7"
"47","NUMB_BIRTH_OLD",8,"8"
"48","NUMB_BIRTH_OLD",9,"9"
"49","NUMB_BIRTH_OLD",10,"10"
"50","NUMB_BIRTH_OLD",11,"11"
"51","NUMB_BIRTH_OLD",12,"12"
"52","NUMB_BIRTH_OLD",13,"13"
"53","NUMB_BIRTH_OLD",14,"14"
"54","NUMB_BIRTH_OLD",15,"15 or more times"
"55","NUMB_BIRTH_OLD",99,"I prefer not to answer"
"56","PREG_INT",1,"Yes, but I was hoping to become pregnant sooner"
"57","PREG_INT",2,"Yes, I wanted to become pregnant at that time"
"58","PREG_INT",3,"Yes, but I was hoping to be pregnant later on"
"59","PREG_INT",4,"No, I didn’t want to be pregnant then or at any time in the future"
"60","PREG_INT",99,"I’d prefer not to answer"
"61","PREPREG_PHYSCONDC1",0,"No"
"62","PREPREG_PHYSCONDC1",1,"Yes"
"63","PREPREG_PHYSCONDC2",0,"No"
"64","PREPREG_PHYSCONDC2",1,"Yes"
"65","PREPREG_PHYSCONDC3",0,"No"
